city,customer_id,email,first_name,last_name,phone,state,street,zip_code
Orchard Park,1,debra.burks@yahoo.com,Debra,Burks,NULL,NY,9273 Thorne Ave. ,14127
Campbell,2,kasha.todd@yahoo.com,Kasha,Todd,NULL,CA,910 Vine Street ,95008
Redondo Beach,3,tameka.fisher@aol.com,Tameka,Fisher,NULL,CA,769C Honey Creek St. ,90278
Uniondale,4,daryl.spence@aol.com,Daryl,Spence,NULL,NY,988 Pearl Lane ,11553
Sacramento,5,charolette.rice@msn.com,Charolette,Rice,(916) 381-6003,CA,107 River Dr. ,95820
Fairport,6,lyndsey.bean@hotmail.com,Lyndsey,Bean,NULL,NY,769 West Road ,14450
Buffalo,7,latasha.hays@hotmail.com,Latasha,Hays,(716) 986-3359,NY,7014 Manor Station Rd. ,14215
Jackson Heights,8,jacquline.duncan@yahoo.com,Jacquline,Duncan,NULL,NY,15 Brown St. ,11372
Port Washington,9,genoveva.baldwin@msn.com,Genoveva,Baldwin,NULL,NY,8550 Spruce Drive ,11050
Monroe,10,pamelia.newman@gmail.com,Pamelia,Newman,NULL,NY,476 Chestnut Ave. ,10950
Monsey,11,deshawn.mendoza@yahoo.com,Deshawn,Mendoza,NULL,NY,8790 Cobblestone Street ,10952
Hempstead,12,robby.sykes@hotmail.com,Robby,Sykes,(516) 583-7761,NY,486 Rock Maple Street ,11550
Longview,13,lashawn.ortiz@msn.com,Lashawn,Ortiz,NULL,TX,27 Washington Rd. ,75604
Forney,14,garry.espinoza@hotmail.com,Garry,Espinoza,NULL,TX,7858 Rockaway Court ,75126
Plattsburgh,15,linnie.branch@gmail.com,Linnie,Branch,NULL,NY,314 South Columbia Ave. ,12901
New York,16,emmitt.sanchez@hotmail.com,Emmitt,Sanchez,(212) 945-8823,NY,461 Squaw Creek Road ,10002
Scarsdale,17,caren.stephens@msn.com,Caren,Stephens,NULL,NY,914 Brook St. ,10583
Canandaigua,18,georgetta.hardin@aol.com,Georgetta,Hardin,NULL,NY,474 Chapel Dr. ,14424
Orchard Park,19,lizzette.stein@yahoo.com,Lizzette,Stein,NULL,NY,19 Green Hill Lane ,14127
Sugar Land,20,aleta.shepard@aol.com,Aleta,Shepard,NULL,TX,684 Howard St. ,77478
Victoria,21,tobie.little@gmail.com,Tobie,Little,NULL,TX,10 Silver Spear Dr. ,77904
East Northport,22,adelle.larsen@gmail.com,Adelle,Larsen,NULL,NY,683 West Kirkland Dr. ,11731
